,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Compensation of Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Compensation Of Employees By Industry At Current Prices, Quarterly, Seasonally Adjusted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 24/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2021 3Q,2021 2Q,2021 1Q,2020 4Q,2020 3Q,2020 2Q,2020 1Q,2019 4Q,2019 3Q,2019 2Q,2019 1Q,2018 4Q,2018 3Q,2018 2Q,2018 1Q,2017 4Q,2017 3Q,2017 2Q,2017 1Q,2016 4Q,2016 3Q,2016 2Q,2016 1Q,2015 4Q,2015 3Q,2015 2Q,2015 1Q,2014 4Q,2014 3Q,2014 2Q,2014 1Q,2013 4Q,2013 3Q,2013 2Q,2013 1Q,2012 4Q,2012 3Q,2012 2Q,2012 1Q,2011 4Q,2011 3Q,2011 2Q,2011 1Q,2010 4Q,2010 3Q,2010 2Q,2010 1Q,2009 4Q,2009 3Q,2009 2Q,2009 1Q,2008 4Q,2008 3Q,2008 2Q,2008 1Q,2007 4Q,2007 3Q,2007 2Q,2007 1Q,2006 4Q,2006 3Q,2006 2Q,2006 1Q,2005 4Q,2005 3Q,2005 2Q,2005 1Q,2004 4Q,2004 3Q,2004 2Q,2004 1Q,2003 4Q,2003 3Q,2003 2Q,2003 1Q,2002 4Q,2002 3Q,2002 2Q,2002 1Q,2001 4Q,2001 3Q,2001 2Q,2001 1Q,2000 4Q,2000 3Q,2000 2Q,2000 1Q,1999 4Q,1999 3Q,1999 2Q,1999 1Q,1998 4Q,1998 3Q,1998 2Q,1998 1Q,1997 4Q,1997 3Q,1997 2Q,1997 1Q,1996 4Q,1996 3Q,1996 2Q,1996 1Q,1995 4Q,1995 3Q,1995 2Q,1995 1Q,1994 4Q,1994 3Q,1994 2Q,1994 1Q,1993 4Q,1993 3Q,1993 2Q,1993 1Q,1992 4Q,1992 3Q,1992 2Q,1992 1Q,1991 4Q,1991 3Q,1991 2Q,1991 1Q,1990 4Q,1990 3Q,1990 2Q,1990 1Q,1989 4Q,1989 3Q,1989 2Q,1989 1Q,1988 4Q,1988 3Q,1988 2Q,1988 1Q,1987 4Q,1987 3Q,1987 2Q,1987 1Q,1986 4Q,1986 3Q,1986 2Q,1986 1Q,1985 4Q,1985 3Q,1985 2Q,1985 1Q,1984 4Q,1984 3Q,1984 2Q,1984 1Q,1983 4Q,1983 3Q,1983 2Q,1983 1Q,1982 4Q,1982 3Q,1982 2Q,1982 1Q,1981 4Q,1981 3Q,1981 2Q,1981 1Q,1980 4Q,1980 3Q,1980 2Q,1980 1Q
Total,"53,627.5","53,055.0","51,755.9","51,210.8","50,950.5","51,233.6","51,742.7","51,716.9","52,291.4","51,313.1","50,722.6","50,264.3","49,930.1","49,343.6","48,883.2","48,419.1","47,828.4","47,345.1","46,686.3","46,421.8","46,181.7","46,011.0","45,641.5","45,010.0","44,723.3","44,118.3","43,868.9","42,976.9","42,270.7","41,430.8","40,903.3","40,291.9","39,058.6","38,694.2","37,772.4","37,365.3","36,677.5","36,252.2","35,449.0","34,559.6","34,322.6","33,786.3","33,589.3","32,979.3","31,956.3","30,949.5","30,465.9","29,161.2","29,078.0","28,864.0","28,695.7","27,892.2","28,591.2","27,736.9","27,708.4","27,535.3","26,863.0","26,528.6","24,936.5","24,293.7","23,249.4","22,654.1","21,970.1","21,604.1","21,040.4","20,447.6","20,102.0","20,002.0","19,154.9","18,944.2","18,696.1","18,149.4","18,288.6","18,348.0","18,250.7","18,237.9","18,305.6","17,997.5","17,780.3","17,300.5","18,182.1","18,028.0","18,212.7","18,182.6","17,330.7","16,693.1","16,440.5","15,919.1","15,382.4","15,247.6","14,893.6","15,154.6","15,559.9","15,789.5","15,694.1","15,559.3","15,218.7","14,832.7","14,425.4","14,169.1","13,905.9","13,682.7","13,384.3","13,035.5","12,733.6","12,366.7","12,105.6","11,895.7","11,542.6","11,132.0","10,837.9","10,505.7","10,071.4","9,804.7","9,415.6","9,264.3","9,005.8","8,773.8","8,595.5","8,417.4","8,204.4","8,002.2","7,756.1","7,438.3","7,368.5","6,983.1","6,693.9","6,564.0","6,280.6","5,951.6","5,661.7","5,697.3","5,200.9","5,031.5","4,949.6","4,695.8","4,553.5","4,616.6","4,398.5","4,337.1","4,269.9","4,246.5","4,547.5","4,640.5","4,749.4","4,764.8","4,724.1","4,815.1","4,818.3","4,591.5","4,438.8","4,250.4","4,233.5","4,094.9","4,020.4","3,926.0","3,628.6","3,502.4","3,288.3","3,184.2","2,987.5","2,817.7","2,705.8","2,563.8","2,464.0","2,369.1","2,272.4"
  Manufacturing,"6,587.4","6,507.9","6,198.3","6,418.9","6,410.3","6,454.1","6,452.7","6,587.8","6,657.7","6,618.5","6,495.3","6,444.3","6,336.1","6,306.9","6,344.9","6,279.1","6,248.1","6,248.0","6,089.0","6,104.2","6,154.2","6,171.5","6,146.4","6,157.4","6,183.1","6,221.7","6,275.5","6,228.9","6,111.9","6,054.3","6,013.6","5,860.9","5,792.1","5,723.1","5,641.8","5,565.9","5,551.9","5,479.0","5,441.7","5,392.6","5,307.2","5,278.1","5,268.0","5,240.9","5,102.5","4,951.8","5,032.6","4,846.0","4,731.3","4,743.0","4,903.6","5,043.0","5,193.0","5,086.1","4,951.2","4,834.7","4,821.9","4,652.1","4,516.0","4,416.2","4,336.6","4,235.9","4,177.9","4,073.3","3,999.7","3,906.9","3,852.2","3,836.3","3,746.4","3,694.7","3,611.5","3,562.9","3,552.0","3,586.3","3,607.5","3,645.2","3,637.5","3,599.0","3,568.4","3,565.9","3,655.8","3,650.8","3,750.7","3,741.2","3,566.5","3,430.0","3,387.7","3,285.3","3,169.5","3,111.5","3,091.0","3,158.6","3,265.8","3,374.3","3,294.0","3,353.9","3,335.4","3,288.1","3,210.0","3,137.0","3,125.8","3,111.9","3,082.3","3,036.5","2,984.0","2,923.5","2,866.0","2,838.9","2,777.7","2,681.0","2,617.5","2,566.8","2,505.4","2,470.6","2,429.9","2,392.9","2,340.9","2,297.6","2,265.1","2,191.7","2,152.7","2,104.0","2,062.0","1,990.3","1,949.2","1,883.9","1,804.7","1,723.4","1,655.3","1,579.9","1,522.2","1,465.9","1,402.8","1,333.3","1,270.5","1,218.7","1,157.4","1,106.3","1,034.2","1,036.7",998.9,978.2,"1,062.5","1,069.3","1,081.9","1,113.5","1,130.6","1,151.2","1,130.7","1,073.4","1,039.3",986.5,961.2,951.6,940.7,904.4,906.8,905.2,879.2,865.8,824.9,779.1,757.9,729.2,698.0,670.7,638.8
  Construction,"2,867.9","2,910.6","2,822.7","2,761.6","2,850.0","2,904.7","2,949.1","3,010.5","2,997.6","3,000.4","2,963.2","2,921.4","2,960.0","2,980.6","3,043.6","2,974.5","3,017.5","3,060.9","3,101.1","3,180.6","3,207.8","3,235.1","3,254.5","3,207.8","3,156.1","3,110.8","3,062.9","3,012.8","3,002.2","2,921.1","2,877.6","2,818.4","2,724.0","2,646.6","2,561.9","2,500.3","2,428.4","2,346.8","2,292.3","2,205.6","2,117.9","2,044.0","2,014.5","2,011.7","1,957.9","1,946.6","1,914.9","1,810.6","1,774.1","1,748.8","1,757.8","1,656.5","1,595.9","1,505.2","1,436.7","1,381.2","1,292.9","1,215.7","1,175.0","1,165.1","1,125.1","1,087.2","1,061.6","1,075.3","1,065.8","1,054.5","1,030.7","1,021.3","1,032.9","1,046.2","1,036.7","1,056.0","1,071.6","1,078.0","1,100.9","1,117.3","1,154.9","1,186.7","1,214.5","1,239.8","1,278.3","1,295.1","1,298.6","1,318.0","1,304.5","1,291.3","1,276.7","1,247.9","1,253.2","1,289.9","1,353.3","1,306.8","1,422.5","1,445.0","1,402.6","1,405.1","1,373.4","1,305.1","1,230.2","1,233.1","1,184.7","1,124.5","1,063.2",984.8,954.9,945.8,900.2,863.1,854.1,837.0,840.1,803.2,734.1,712.1,656.0,699.3,666.6,633.7,604.2,598.2,582.2,551.9,527.3,511.4,494.0,473.3,452.9,485.4,457.4,394.7,400.7,396.4,383.7,384.6,389.5,369.2,397.1,413.8,401.7,397.8,407.4,406.1,421.1,480.0,494.7,529.3,565.7,617.9,668.9,684.0,653.0,608.9,564.1,529.4,515.4,515.3,449.7,417.3,341.7,348.9,308.1,272.2,246.0,223.1,218.0,206.4,198.5
  Utilities,429.8,423.0,415.4,396.0,396.0,396.1,399.2,396.0,398.9,403.6,402.1,405.0,401.2,390.9,394.4,396.1,391.4,387.8,367.1,370.1,367.2,375.1,379.5,349.7,383.7,369.2,377.0,354.7,336.2,337.5,345.2,337.9,317.3,325.8,295.0,293.3,291.7,279.1,260.1,252.9,264.2,253.2,265.8,272.2,248.5,242.7,232.8,234.9,222.8,228.2,233.2,217.3,245.4,233.0,256.5,223.3,217.1,226.0,216.9,203.9,199.7,192.9,171.5,185.1,180.7,180.2,188.7,198.6,182.0,192.6,210.4,168.1,203.5,209.3,210.7,198.4,184.5,152.3,160.4,176.3,183.9,171.3,172.8,166.1,161.2,170.3,151.3,139.0,136.8,150.1,120.5,114.7,133.3,118.3,137.9,138.5,123.8,127.3,131.8,122.4,113.5,113.5,112.1,117.5,120.0,115.5,104.3,123.4,113.7,111.2,99.0,102.2,97.3,91.4,88.2,88.8,88.7,85.2,86.8,86.4,87.4,91.0,76.8,84.7,81.1,74.9,78.4,78.2,78.2,73.6,72.9,82.3,64.3,68.2,65.7,63.2,61.4,67.1,64.6,63.9,63.1,68.1,72.2,71.0,78.0,75.3,74.2,71.2,71.5,66.3,63.0,62.3,64.1,63.5,62.0,69.4,56.6,57.1,53.9,51.3,47.9,46.3,45.2,42.7,41.8,42.8,42.6
  Other Goods Industries,20.5,20.5,19.9,19.3,19.0,18.9,19.2,19.3,19.2,19.1,19.0,18.7,18.6,18.3,18.1,18.0,17.8,17.6,17.2,17.2,17.1,17.0,17.1,16.5,16.6,16.8,16.6,16.7,16.2,16.1,14.9,15.2,15.0,14.9,15.9,15.4,15.8,15.9,15.5,15.7,15.4,14.9,14.9,16.1,14.8,14.6,14.6,14.3,14.7,14.8,15.1,13.7,14.3,14.3,14.3,13.8,13.7,13.9,13.6,13.6,13.1,12.7,13.1,14.1,13.6,12.8,12.2,12.0,12.5,12.8,12.6,11.8,11.8,12.3,13.0,13.1,13.5,12.9,12.9,11.2,15.1,15.5,15.1,15.9,14.1,14.9,15.4,17.1,16.4,16.5,16.5,16.9,18.4,17.9,18.3,18.0,17.9,18.3,19.1,17.1,18.6,18.5,17.8,17.0,16.9,17.0,17.6,18.0,17.3,16.9,15.8,16.1,14.6,14.6,14.9,16.2,16.1,17.5,13.8,13.2,13.9,14.2,14.2,13.9,14.3,14.9,15.8,16.9,17.6,17.6,17.5,17.0,16.2,16.0,16.5,16.3,16.6,20.1,20.1,19.9,20.3,21.3,24.0,27.3,29.7,30.6,30.4,31.1,31.1,31.0,30.0,30.1,29.4,27.7,26.6,25.4,23.1,21.4,19.5,16.7,15.3,14.1,13.7,12.1,12.9,12.4,11.9
  Wholesale & Retail Trade,"7,367.9","7,356.3","7,194.8","7,151.3","7,145.0","7,099.8","7,203.9","7,315.6","7,363.1","7,354.1","7,279.7","7,212.2","7,159.9","7,140.2","7,076.1","6,948.1","6,957.1","6,897.5","6,809.4","6,805.0","6,723.2","6,687.3","6,619.1","6,516.0","6,484.7","6,425.1","6,378.4","6,231.8","6,115.6","6,001.7","5,880.9","5,858.1","5,784.2","5,665.1","5,624.9","5,562.8","5,493.6","5,482.0","5,471.7","5,401.7","5,298.5","5,225.6","5,117.4","5,044.7","4,916.1","4,793.4","4,741.5","4,686.2","4,704.4","4,695.0","4,628.1","4,686.1","4,698.0","4,662.8","4,610.9","4,586.5","4,478.4","4,352.7","4,221.3","4,055.0","3,942.8","3,794.5","3,580.2","3,595.2","3,463.4","3,363.6","3,276.3","3,193.6","3,137.5","3,110.4","3,052.8","3,055.9","3,071.5","3,067.3","3,072.0","3,035.5","2,983.2","2,922.1","2,855.6","2,834.3","2,826.4","2,832.8","2,823.0","2,826.3","2,692.6","2,608.3","2,576.6","2,471.5","2,381.7","2,367.8","2,379.0","2,448.3","2,551.1","2,586.7","2,587.3","2,563.1","2,521.8","2,465.5","2,421.0","2,379.3","2,357.9","2,332.1","2,321.9","2,220.4","2,187.9","2,128.5","2,056.7","2,013.9","1,959.0","1,897.7","1,858.2","1,797.2","1,748.2","1,676.0","1,602.9","1,561.3","1,497.7","1,457.2","1,425.1","1,335.5","1,298.1","1,259.9","1,222.5","1,177.0","1,114.1","1,045.6",990.4,948.3,884.1,826.1,801.9,775.5,745.6,725.4,707.3,643.2,640.8,631.1,604.7,587.9,588.9,576.4,639.6,660.1,670.5,681.0,672.3,662.4,644.0,622.1,613.5,613.1,624.9,618.0,604.2,570.8,538.6,515.8,492.5,475.8,442.9,411.8,397.9,369.2,354.1,337.7,320.4
    Wholesale Trade,"6,178.1","6,196.3","6,040.2","6,020.1","6,002.6","5,959.2","6,065.3","6,113.7","6,161.5","6,141.7","6,079.7","6,024.0","5,971.8","5,956.0","5,901.9","5,786.9","5,806.9","5,752.3","5,664.2","5,667.5","5,594.0","5,550.9","5,482.5","5,399.2","5,380.2","5,325.4","5,256.2","5,137.1","5,049.7","4,987.8","4,910.7","4,896.3","4,834.5","4,750.5","4,728.3","4,674.1","4,620.5","4,603.7","4,592.8","4,536.0","4,453.5","4,400.1","4,330.2","4,275.4","4,153.1","4,038.0","4,004.0","3,962.1","3,972.7","3,976.0","3,910.0","3,972.4","3,986.1","3,955.9","3,913.8","3,903.0","3,826.0","3,704.3","3,586.2","3,427.9","3,322.5","3,184.7","2,980.3","3,005.7","2,884.2","2,799.5","2,722.6",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Retail Trade,"1,189.8","1,160.0","1,154.6","1,131.2","1,142.4","1,140.6","1,138.6","1,201.9","1,201.6","1,212.4","1,200.0","1,188.2","1,188.1","1,184.2","1,174.2","1,161.2","1,150.2","1,145.2","1,145.2","1,137.5","1,129.2","1,136.4","1,136.6","1,116.8","1,104.5","1,099.7","1,122.2","1,094.7","1,065.9","1,013.9",970.2,961.8,949.7,914.6,896.6,888.7,873.1,878.3,878.9,865.7,845.0,825.5,787.2,769.3,763.0,755.4,737.5,724.1,731.7,719.0,718.1,713.7,711.9,706.9,697.1,683.5,652.4,648.4,635.1,627.1,620.3,609.8,599.9,589.5,579.2,564.1,553.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Transportation & Storage,"3,042.6","3,200.0","3,144.9","3,213.6","3,147.8","3,165.5","3,420.6","3,490.4","3,543.5","3,504.8","3,423.6","3,369.9","3,433.5","3,446.2","3,372.2","3,266.9","3,277.0","3,229.8","3,214.6","3,194.9","3,130.2","3,130.9","3,133.3","3,118.5","3,045.9","3,037.9","3,012.6","2,947.2","2,916.5","2,869.7","2,774.6","2,732.8","2,657.6","2,610.5","2,567.1","2,575.3","2,475.9","2,516.6","2,386.3","2,365.5","2,357.2","2,245.7","2,249.1","2,243.2","2,150.2","2,164.4","2,126.0","2,092.5","2,041.0","2,051.4","2,074.0","2,005.1","2,116.2","1,919.6","1,907.5","1,924.1","2,040.2","1,929.7","1,897.9","1,821.5","1,784.7","1,761.6","1,789.7","1,711.3","1,682.2","1,718.9","1,599.8","1,710.3","1,476.0","1,525.8","1,457.4","1,450.1","1,473.4","1,479.0","1,493.5","1,512.3","1,432.1","1,421.3","1,392.7","1,247.0","1,428.2","1,425.2","1,433.4","1,448.6","1,484.3","1,412.1","1,390.7","1,332.0","1,349.8","1,300.5","1,276.9","1,335.4","1,312.4","1,337.4","1,331.2","1,319.9","1,231.9","1,251.0","1,201.1","1,208.2","1,177.6","1,175.1","1,187.3","1,132.6","1,176.4","1,116.8","1,075.4","1,020.7","1,026.7",984.0,942.8,905.6,855.3,834.1,814.7,778.2,776.1,747.9,751.9,791.4,733.1,737.0,684.4,636.4,676.8,607.6,596.5,618.6,566.7,540.1,503.2,484.6,462.6,440.1,446.9,408.4,408.6,437.5,397.9,383.5,369.7,369.0,384.7,376.6,399.8,377.8,362.1,365.1,351.4,353.6,354.1,353.6,371.1,367.1,352.7,355.7,323.5,313.4,302.1,292.2,280.4,272.5,267.6,258.6,254.1,245.9,245.2
