month,work_pass_type,count
2015-12,employment_pass,187900
2015-12,s_pass,178600
2015-12,work_permit,997100
2015-12,other_work_passes,23600
2016-12,employment_pass,192300
2016-12,s_pass,179700
2016-12,work_permit,992700
2016-12,other_work_passes,28300
2017-12,employment_pass,187700
2017-12,s_pass,184400
2017-12,work_permit,965200
2017-12,other_work_passes,30700
2018-12,employment_pass,"185,800"
2018-12,s_pass,"195,500"
2018-12,work_permit,972600
2018-12,other_work_passes,32100
2019-12,employment_pass,193700
2019-12,s_pass,200000
2019-12,work_permit,999000
2019-12,other_work_passes,34700
2020-06,employment_pass,"189,700"
2020-06,s_pass,"188,800"
2020-06,work_permit,"940,200"
2020-06,other_work_passes,"33,100"
